,movies_titles,movies_links,budget,synopsis,country,directeur,scenaristes,vedettes,titres,rating
128,Le garde du corps,https://www.imdb.com//title/tt0055630/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_128,0,"Sanjuro, a wandering samurai enters a rural town in nineteenth century Japan. After learning from the innkeeper that the town is divided between two gangsters, he plays one side off against the other. His efforts are complicated by the arrival of the wily Unosuke, the son of one of the gangsters, who owns a revolver. Unosuke has Sanjuro beaten after he reunites an abducted woman with her husband and son, then massacres his father's opponents. During the slaughter, the samurai escapes with the help of the innkeeper; but while recuperating at a nearby temple, he learns of innkeeper's abduction by Unosuke, and returns to the town to confront him.",['Japan'],['Akira Kurosawa '],"['Akira Kurosawa (story)', ' Akira Kurosawa (screenplay)            |']","['Toshirô Mifune', ' Eijirô Tôno', ' Tatsuya Nakadai |']","['Toshirô Mifune', ' Eijirô Tôno', ' Tatsuya Nakadai |']","8,2"
129,Batman Begins,https://www.imdb.com//title/tt0372784/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_129,150000000,"When his parents are killed, billionaire playboy Bruce Wayne relocates to Asia, where he is mentored by Henri Ducard and Ra's Al Ghul in how to fight evil. When learning about the plan to wipe out evil in Gotham City by Ducard, Bruce prevents this plan from getting any further and heads back to his home. Back in his original surroundings, Bruce adopts the image of a bat to strike fear into the criminals and the corrupt as the icon known as ""Batman"". But it doesn't stay quiet for long.","['USA', 'UK']",['Christopher Nolan '],"['Bob Kane (characters)', ' David S. Goyer (story)            |']","['Christian Bale', ' Michael Caine', ' Ken Watanabe |']","['Christian Bale', ' Michael Caine', ' Ken Watanabe |']","8,2"
130,Green Book: Sur les routes du sud,https://www.imdb.com//title/tt6966692/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_130,23000000,"In 1962, Tony ""Tony Lip"" Vallelonga, a tough bouncer, is looking for work when his nightclub is closed for renovations. The most promising offer turns out to be the driver for the African-American classical pianist Don Shirley for a concert tour into the Deep South states. Although hardly enthused at working for a black man, Tony accepts the job and they begin their trek armed with The Negro Motorist Green Book, a travel guide for safe travel through America's racial segregation. Together, the snobbishly erudite pianist and the crudely practical bouncer can barely get along with their clashing attitudes to life and ideals. However, as the disparate pair witness and endure America's appalling injustices on the road, they find a newfound respect for each other's talents and start to face them together. In doing so, they would nurture a friendship and understanding that would change both their lives.","['USA', 'China']",['Peter Farrelly '],"['Nick Vallelonga', ' Brian Hayes Currie (as Brian Currie)            |']","['Viggo Mortensen', ' Mahershala Ali', ' Linda Cardellini |']","['Viggo Mortensen', ' Mahershala Ali', ' Linda Cardellini |']","8,2"
131,La chute,https://www.imdb.com//title/tt0363163/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_131,13500000,"In April of 1945, Germany stands at the brink of defeat with the Soviet Armies closing in from the west and south. In Berlin, capital of the Third Reich, Adolf Hitler proclaims that Germany will still achieve victory and orders his Generals and advisers to fight to the last man. ""Downfall"" explores these final days of the Reich, where senior German leaders (such as Himmler and Goring) began defecting from their beloved Fuhrer, in an effort to save their own lives, while still others (Joseph Goebbels) pledge to die with Hitler. Hitler, himself, degenerates into a paranoid shell of a man, full of optimism one moment and suicidal depression the next. When the end finally does comes, and Hitler lies dead by his own hand, what is left of his military must find a way to end the killing that is the Battle of Berlin, and lay down their arms in surrender.","['Germany', 'Austria', 'Italy']",['Oliver Hirschbiegel '],"['Bernd Eichinger (screenplay)', ' Joachim Fest (book)            |']","['Bruno Ganz', ' Alexandra Maria Lara', ' Ulrich Matthes |']","['Bruno Ganz', ' Alexandra Maria Lara', ' Ulrich Matthes |']","8,2"
132,Les enfants du ciel,https://www.imdb.com//title/tt0118849/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_132,180000,"Zahra's shoes are gone; her older brother Ali lost them. They are poor, there are no shoes for Zahra until they come up with an idea: they will share one pair of shoes, Ali's. School awaits. Will the plan succeed?",['Iran'],['Majid Majidi '],['Majid Majidi '],"['Mohammad Amir Naji', ' Amir Farrokh Hashemian', ' Bahare Seddiqi |']","['Mohammad Amir Naji', ' Amir Farrokh Hashemian', ' Bahare Seddiqi |']","8,2"
133,Impitoyable,https://www.imdb.com//title/tt0105695/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_133,14400000,"After escaping death by the skin of her teeth, the horribly disfigured prostitute, Delilah Fitzgerald, and her appalled and equally furious co-workers summon up the courage to seek retribution in 1880s Wyoming's dangerous town of Big Whiskey. With a hefty bounty on the perpetrators' heads, triggered by the tough Sheriff ""Little Bill"" Daggett's insufficient sense of justice, the infamous former outlaw and now destitute Kansas hog farmer, William Munny, embarks on a murderous last mission to find the men behind the hideous crime. Along with his old partner-in-crime, Ned Logan, and the brash but inexperienced young gunman, the ""Schofield Kid"", Munny enters a perilous world he has renounced many years ago, knowing that he walks right into a deadly trap; however, he still needs to find a way to raise his motherless children. Now, blood demands blood. Who is the hero, and who is the villain?",['USA'],['Clint Eastwood '],['David Webb Peoples '],"['Clint Eastwood', ' Gene Hackman', ' Morgan Freeman |']","['Clint Eastwood', ' Gene Hackman', ' Morgan Freeman |']","8,2"
134,Certains l'aiment chaud,https://www.imdb.com//title/tt0053291/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_134,2883848,"After two Chicago musicians, Joe and Jerry, witness the the St. Valentine's Day massacre, they want to get out of town and get away from the gangster responsible, Spats Colombo. They're desperate to get a gig out of town but the only job they know of is in an all-girl band heading to Florida. They show up at the train station as Josephine and Daphne, the replacement saxophone and bass players. They certainly enjoy being around the girls, especially Sugar Kane Kowalczyk who sings and plays the ukulele. Joe in particular sets out to woo her while Jerry/Daphne is wooed by a millionaire, Osgood Fielding III. Mayhem ensues as the two men try to keep their true identities hidden and Spats Colombo and his crew show up for a meeting with several other crime lords.",['USA'],['Billy Wilder '],"['Billy Wilder (screenplay)', ' I.A.L. Diamond (screenplay)            |']","['Marilyn Monroe', ' Tony Curtis', ' Jack Lemmon |']","['Marilyn Monroe', ' Tony Curtis', ' Jack Lemmon |']","8,2"
135,Ran,https://www.imdb.com//title/tt0089881/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_135,11500000,"Japanese warlord Hidetori Ichimonji decides the time has come to retire and divide his fiefdom among his three sons. His eldest and middle sons - Taro and Jiro - agree with his decision and promise to support him for his remaining days. The youngest son Saburo disagrees with all of them arguing that there is little likelihood the three brothers will remain united. Insulted by his son's brashness, the warlord banishes Saburo. As the warlord begins his retirement, he quickly realizes that his two eldest sons selfish and have no intention of keeping their promises. It leads to war and only banished Saburo can possibly save him.","['Japan', 'France']",['Akira Kurosawa '],"['Akira Kurosawa (screenplay)', ' Hideo Oguni (screenplay)            |']","['Tatsuya Nakadai', ' Akira Terao', ' Jinpachi Nezu |']","['Tatsuya Nakadai', ' Akira Terao', ' Jinpachi Nezu |']","8,2"
136,Le château ambulant,https://www.imdb.com//title/tt0347149/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_136,24000000,"A love story between an 18-year-old girl named Sophie, cursed by a witch into an old woman's body, and a magician named Howl. Under the curse, Sophie sets out to seek her fortune, which takes her to Howl's strange moving castle. In the castle, Sophie meets Howl's fire demon, named Karishifâ. Seeing that she is under a curse, the demon makes a deal with Sophie--if she breaks the contract he is under with Howl, then Karushifâ will lift the curse that Sophie is under, and she will return to her 18-year-old shape.",['Japan'],['Hayao Miyazaki '],"['Hayao Miyazaki (screenplay)', ' Diana Wynne Jones (novel) (as Daiana Win Jônzu)    ']","['Chieko Baishô', ' Takuya Kimura', ' Tatsuya Gashûin |']","['Chieko Baishô', ' Takuya Kimura', ' Tatsuya Gashûin |']","8,2"
137,La grande évasion,https://www.imdb.com//title/tt0057115/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_137,4000000,"Based on a true story, a group of allied escape artist-type prisoners-of-war are all put in an ""escape proof"" camp. Their leader decides to try to take out several hundred all at once. The first half of the movie is played for comedy, as the prisoners mostly outwit their jailers to dig the escape tunnel. The second half is high adventure as they use planes, trains, and boats to get out of occupied Europe.",['USA'],['John Sturges '],"['Paul Brickhill (book)', ' James Clavell (screenplay)            |']","['Steve McQueen', ' James Garner', ' Richard Attenborough |']","['Steve McQueen', ' James Garner', ' Richard Attenborough |']","8,2"
138,Un homme d'exception,https://www.imdb.com//title/tt0268978/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_138,58000000,"From the heights of notoriety to the depths of depravity, John Forbes Nash, Jr. experienced it all. A mathematical genius, he made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a painful and harrowing journey of self-discovery. After many years of struggle, he eventually triumphed over his tragedy, and finally - late in life - received the Nobel Prize.",['USA'],['Ron Howard '],"['Akiva Goldsman', ' Sylvia Nasar (book)    ']","['Russell Crowe', ' Ed Harris', ' Jennifer Connelly |']","['Russell Crowe', ' Ed Harris', ' Jennifer Connelly |']","8,2"
139,Ève,https://www.imdb.com//title/tt0042192/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_139,1400000,"Eve Harrington (Anne Baxter) is waiting backstage to meet her idol, talented but aging Broadway star Margo Channing (Bette Davis). It seems innocent enough as Eve explains that she has seen Margo in EVERY performance of her current play. Margo and her friends take Eve under their wing but only theatre critic Addison DeWitt (George Sanders) sees through Eve's evil plan, which is to take Margo's parts and her fiancé, Bill Simpson (Gary Merrill) too.",['USA'],['Joseph L. Mankiewicz '],['Joseph L. Mankiewicz (written for the screen by)    '],"['Bette Davis', ' Anne Baxter', ' George Sanders |']","['Bette Davis', ' Anne Baxter', ' George Sanders |']","8,2"
140,Casino,https://www.imdb.com//title/tt0112641/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_140,52000000,"This Martin Scorsese film depicts the Janus-like quality of Las Vegas--it has a glittering, glamorous face, as well as a brutal, cruel one. Ace Rothstein and Nicky Santoro, mobsters who move to Las Vegas to make their mark, live and work in this paradoxical world. Seen through their eyes, each as a foil to the other, the details of mob involvement in the casinos of the 1970's and '80's are revealed. Ace is the smooth operator of the Tangiers casino, while Nicky is his boyhood friend and tough strongman, robbing and shaking down the locals. However, they each have a tragic flaw--Ace falls in love with a hustler, Ginger, and Nicky falls into an ever-deepening spiral of drugs and violence.","['France', 'USA']",['Martin Scorsese '],"['Nicholas Pileggi (book)', ' Nicholas Pileggi (screenplay)            |']","['Robert De Niro', ' Sharon Stone', ' Joe Pesci |']","['Robert De Niro', ' Sharon Stone', ' Joe Pesci |']","8,2"
141,Le labyrinthe de Pan,https://www.imdb.com//title/tt0457430/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_141,19000000,"In 1944 Falangist Spain, a girl, fascinated with fairy-tales, is sent along with her pregnant mother to live with her new stepfather, a ruthless captain of the Spanish army. During the night, she meets a fairy who takes her to an old faun in the center of the labyrinth. He tells her she's a princess, but must prove her royalty by surviving three gruesome tasks. If she fails, she will never prove herself to be the true princess and will never see her real father, the king, again.","['Mexico', 'Spain', 'France', 'USA']",['Guillermo del Toro '],['Guillermo del Toro '],"['Ivana Baquero', ' Ariadna Gil', ' Sergi López |']","['Ivana Baquero', ' Ariadna Gil', ' Sergi López |']","8,2"
142,Le loup de Wall Street,https://www.imdb.com//title/tt0993846/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_142,100000000,"Jordan Belfort is a Long Island penny stockbroker who served 22 months in prison for defrauding investors in a massive 1990s securities scam that involved widespread corruption on Wall Street and in the corporate banking world, including shoe designer Steve Madden.",['USA'],['Martin Scorsese '],"['Terence Winter (screenplay)', ' Jordan Belfort (book)    ']","['Leonardo DiCaprio', ' Jonah Hill', ' Margot Robbie |']","['Leonardo DiCaprio', ' Jonah Hill', ' Margot Robbie |']","8,2"
143,Dans ses yeux,https://www.imdb.com//title/tt1305806/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_143,2000000,"In 1999, retired Argentinian federal justice agent Benjamín Espósito is writing a novel, using an old closed case as the source material. That case is the brutal rape and murder of Liliana Coloto. In addition to seeing the extreme grief of the victim's husband Ricardo Morales, Benjamín, his assistant Pablo Sandoval, and newly hired department chief Irene Menéndez-Hastings were personally affected by the case as Benjamín and Pablo tracked the killer, hence the reason why the unsatisfactory ending to the case has always bothered him. Despite the department already having two other suspects, Benjamín and Pablo ultimately were certain that a man named Isidoro Gómez is the real killer. Although he is aware that historical accuracy is not paramount for the novel, the process of revisiting the case is more an issue of closure for him. He tries to speak to the key players in the case, most specifically Irene, who still works in the justice department and who he has always been attracted to ...","['Argentina', 'Spain']",['Juan José Campanella '],"['Eduardo Sacheri (screenplay)', ' Juan José Campanella (screenplay)            |']","['Ricardo Darín', ' Soledad Villamil', ' Pablo Rago |']","['Ricardo Darín', ' Soledad Villamil', ' Pablo Rago |']","8,2"
144,Mon voisin Totoro,https://www.imdb.com//title/tt0096283/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_144,3700000,"Two young girls, 10-year-old Satsuki and her 4-year-old sister Mei, move into a house in the country with their father to be closer to their hospitalized mother. Satsuki and Mei discover that the nearby forest is inhabited by magical creatures called Totoros (pronounced toe-toe-ro). They soon befriend these Totoros, and have several magical adventures.",['Japan'],['Hayao Miyazaki '],['Hayao Miyazaki '],"['Hitoshi Takagi', ' Noriko Hidaka', ' Chika Sakamoto |']","['Hitoshi Takagi', ' Noriko Hidaka', ' Chika Sakamoto |']","8,1"
145,"Arnaques, crimes et botanique",https://www.imdb.com//title/tt0120735/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_145,960000,"Four Jack-the-lads find themselves heavily - seriously heavily - in debt to an East End hard man and his enforcers after a crooked card game. Overhearing their neighbours in the next flat plotting to hold up a group of out-of-their-depth drug growers, our heros decide to stitch up the robbers in turn. In a way the confusion really starts when a pair of antique double-barrelled shotguns go missing in a completely different scam.",['UK'],['Guy Ritchie '],['Guy Ritchie '],"['Jason Flemyng', ' Dexter Fletcher', ' Nick Moran |']","['Jason Flemyng', ' Dexter Fletcher', ' Nick Moran |']","8,1"
146,Raging Bull,https://www.imdb.com//title/tt0081398/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_146,18000000,"When Jake LaMotta steps into a boxing ring and obliterates his opponent, he's a prizefighter. But when he treats his family and friends the same way, he's a ticking time bomb, ready to go off at any moment. Though LaMotta wants his family's love, something always seems to come between them. Perhaps it's his violent bouts of paranoia and jealousy. This kind of rage helped make him a champ, but in real life, he winds up in the ring alone.",['USA'],['Martin Scorsese '],"['Jake LaMotta (based on the book by) (as Jake La Motta)', ' Joseph Carter (with)            |']","['Robert De Niro', ' Cathy Moriarty', ' Joe Pesci |']","['Robert De Niro', ' Cathy Moriarty', ' Joe Pesci |']","8,1"
147,There Will Be Blood,https://www.imdb.com//title/tt0469494/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_147,25000000,"The intersecting life stories of Daniel Plainview and Eli Sunday in early twentieth century California is presented. Miner turn oilman Daniel Plainview is a driven man who will do whatever it takes to achieve his goals. He works hard but he also takes advantage of those around him at their expense if need be. His business partner is his son H.W., who in reality he ""acquired"" when H.W.'s biological single father, who worked on one of Daniel's rigs, got killed in a workplace accident. Daniel is deeply protective of H.W. if only for what H.W. brings to the partnership. Eli Sunday is one in a pair of twins, whose family farm Daniel purchases for the major oil deposit located on it. Eli, the local preacher and a self-proclaimed faith healer, wants the money from the sale of the property to finance his own church. The lives of the two competitive men often clash as Daniel pumps oil off the property and tries to acquire all the surrounding land at bargain prices to be able to build a ...",['USA'],['Paul Thomas Anderson '],"['Paul Thomas Anderson (written for the screen by)', ' Upton Sinclair (novel)    ']","['Daniel Day-Lewis', ' Paul Dano', ' Ciarán Hinds |']","['Daniel Day-Lewis', ' Paul Dano', ' Ciarán Hinds |']","8,1"
148,Le trésor de la Sierra Madre,https://www.imdb.com//title/tt0040897/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_148,3000000,"Fred C. Dobbs and Bob Curtin, both down on their luck in Tampico, Mexico in 1925, meet up with a grizzled prospector named Howard and decide to join with him in search of gold in the wilds of central Mexico. Through enormous difficulties, they eventually succeed in finding gold, but bandits, the elements, and most especially greed threaten to turn their success into disaster.","['USA', 'Mexico']",['John Huston '],"['John Huston (screenplay)', ' B. Traven (based on the novel by)    ']","['Humphrey Bogart', ' Walter Huston', ' Tim Holt |']","['Humphrey Bogart', ' Walter Huston', ' Tim Holt |']","8,1"
149,Jugement à Nuremberg,https://www.imdb.com//title/tt0055031/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_149,3000000,"It has been three years since the most important Nazi leaders had already been tried. This trial is about 4 judges who used their offices to conduct Nazi sterilization and cleansing policies. Retired American judge, Dan Haywood has a daunting task ahead of him. The Cold War is heating up and no one wants any more trials as Germany, and Allied governments, want to forget the past. But is that the right thing to do is the question that the tribunal must decide.",['USA'],['Stanley Kramer '],"['Abby Mann', ' Abby Mann (based on his original story by)    ']","['Spencer Tracy', ' Burt Lancaster', ' Richard Widmark |']","['Spencer Tracy', ' Burt Lancaster', ' Richard Widmark |']","8,1"
150,Mon père et mon fils,https://www.imdb.com//title/tt0476735/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_150,0,"Sadik is one of the rebellious youth who has been politically active as a university student and became a left-wing journalist in the 70's, despite his father's expectations of him becoming an agricultural engineer and taking control of their family farm in an Aegean village. On the dawn of September 12, 1980, when a merciless military coup hits the country, they cannot find access to any hospital or a doctor and his wife dies while giving birth to their only child, Deniz. After a long-lasting period of torture, trials, and jail time, Sadik returns to his village with 7-8 years old Deniz, knowing that it will be hard to correct things with his father, Huseyin.",['Turkey'],['Çagan Irmak '],['Çagan Irmak '],"['Çetin Tekindor', ' Fikret Kuskan', ' Hümeyra |']","['Çetin Tekindor', ' Fikret Kuskan', ' Hümeyra |']","8,1"
151,3 Billboards: Les panneaux de la vengeance,https://www.imdb.com//title/tt5027774/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_151,15000000,"THREE BILLBOARDS OUTSIDE EBBING, MISSOURI is a darkly comic drama from Academy Award nominee Martin McDonagh (In Bruges). After months have passed without a culprit in her daughter's murder case, Mildred Hayes (Academy Award winner Frances McDormand) makes a bold move, painting three signs leading into her town with a controversial message directed at William Willoughby (Academy Award nominee Woody Harrelson), the town's revered chief of police. When his second-in-command Officer Dixon (Academy Award winner Sam Rockwell), an immature mother's boy with a penchant for violence, gets involved, the battle between Mildred and Ebbing's law enforcement is only exacerbated.","['UK', 'USA']",['Martin McDonagh '],['Martin McDonagh '],"['Frances McDormand', ' Woody Harrelson', ' Sam Rockwell |']","['Frances McDormand', ' Woody Harrelson', ' Sam Rockwell |']","8,1"
152,Le crime était presque parfait,https://www.imdb.com//title/tt0046912/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_152,1400000,"In London, wealthy Margot Mary Wendice had a brief love affair with the American writer Mark Halliday while her husband and professional tennis player Tony Wendice was on a tennis tour. Tony quits playing to dedicate to his wife and finds a regular job. She decides to give him a second chance for their marriage. When Mark arrives from America to visit the couple, Margot tells him that she had destroyed all his letters but one that was stolen. Subsequently she was blackmailed, but she had never retrieved the stolen letter. Tony arrives home, claims that he needs to work and asks Margot to go with Mark to the theater. Meanwhile Tony calls Captain Lesgate (aka Charles Alexander Swann who studied with him at college) and blackmails him to murder his wife, so that he can inherit her fortune. But there is no perfect crime, and things do not work as planned.",['USA'],['Alfred Hitchcock '],"['Frederick Knott (screen play by)', ' Frederick Knott (as adapted from his play)    ']","['Ray Milland', ' Grace Kelly', ' Robert Cummings |']","['Ray Milland', ' Grace Kelly', ' Robert Cummings |']","8,1"
153,La ruée vers l'or,https://www.imdb.com//title/tt0015864/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_153,923000,A lone prospector ventures into Alaska looking for gold. He gets mixed up with some burly characters and falls in love with the beautiful Georgia. He tries to win her heart with his singular charm.,['USA'],['Charles Chaplin '],['Charles Chaplin '],"['Charles Chaplin', ' Mack Swain', ' Tom Murray |']","['Charles Chaplin', ' Mack Swain', ' Tom Murray |']","8,1"
154,Chinatown,https://www.imdb.com//title/tt0071315/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_154,6000000,"In 1937 Los Angeles, private investigator Jake 'J.J.' Gittes specializes in cheating-spouse cases. His current target is Hollis Mulwray, high-profile chief engineer for the Los Angeles Department of Water and Power, whose wife suspects him of infidelity. In following Mulwray, Gittes witnesses some usual business dealings, such as a public meeting for construction of a new dam to create additional water supply for Los Angeles, as fresh water is vital to the growing community during the chronic drought; Mulwray opposes the dam. Eventually Gittes sees Mulwray meeting with an unknown young woman who isn't his wife. Once news of the supposed tryst between Mulwray and this woman hits the media, additional information comes to light that makes Gittes believe that Mulwray is being framed for something and that he himself is being set up. In his investigation of the issue behind Mulwray's framing and his own setup, Gittes is assisted by Mulwray's wife Evelyn, but he thinks she isn't being ...",['USA'],['Roman Polanski '],['Robert Towne '],"['Jack Nicholson', ' Faye Dunaway', ' John Huston |']","['Jack Nicholson', ' Faye Dunaway', ' John Huston |']","8,1"
155,V pour vendetta,https://www.imdb.com//title/tt0434409/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_155,54000000,"In the year 1998 , Evey Hammond is an average citizen of the United Kingdom, which is under the rule of the fascist and tyrannical Norsefire Party. She is an employee of the state-run British Television Network, but soon, she becomes the number one enemy of the state together with an enigmatic and larger-than-life freedom fighter known only by the letter ""V"". V informs Evey that she must hide in his underground lair for at least one year, and while she is reluctant to the idea at first, a bond soon forms between the two individuals. In the meanwhile, the mysterious past of V is gradually revealed to the police inspector tasked with capturing him, Eric Finch, and it is not long until he starts questioning everything his government stands for.","['USA', 'UK', 'Germany']",['James McTeigue '],"['Lilly Wachowski (screenplay) (as The Wachowski Brothers)', ' Lana Wachowski (screenplay) (as The Wachowski Brothers)            |']","['Hugo Weaving', ' Natalie Portman', ' Rupert Graves |']","['Hugo Weaving', ' Natalie Portman', ' Rupert Graves |']","8,1"
